id,title,key
1,普通扫描电子显微镜、环境扫描电子显微镜和激光共聚焦扫描电子显微镜在组织工程学中的应用。,"b""b'\\xe4\\xbc\\x98\\xe7\\xbc\\xba\\xe7\\x82\\xb9' b'\\xe5\\xb9\\xbf\\xe5\\xa4\\xa7' b'\\xe6\\x99\\xae\\xe9\\x80\\x9a' b'\\xe9\\x87\\x8d\\xe8\\xa6\\x81' b'\\xe6\\x9c\\x80\\xe5\\xb8\\xb8' b'\\xe6\\xa6\\x82\\xe8\\xbf\\xb0' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe4\\xba\\x9b\\xe8\\xae\\xb8' b'\\xe8\\x81\\x9a\\xe7\\x84\\xa6' b'\\xe5\\xb7\\xa5\\xe7\\xa8\\x8b\\xe5\\xad\\xa6'"""
2,扫描电子显微镜在生药学研究中的应用——单子叶植物中的针晶在扫描电子显微镜下的精细结构。,"b""b'\\xe6\\x98\\xbe\\xe5\\xbe\\xae' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe7\\x94\\x9f\\xe8\\x8d\\xaf\\xe5\\xad\\xa6' b'\\xe7\\xb2\\x98\\xe6\\xb6\\xb2' b'\\xe8\\xa7\\x82\\xe5\\xaf\\x9f' b'\\xe7\\xbb\\x93\\xe6\\x99\\xb6\\xe4\\xbd\\x93' b'\\xe7\\x94\\x9f\\xe8\\x8d\\xaf' b'\\xe9\\x89\\xb4\\xe5\\xae\\x9a' b'\\xe7\\xbb\\x86\\xe8\\x83\\x9e\\xe7\\xbb\\x84\\xe7\\xbb\\x87' b'\\xe7\\xb2\\xbe\\xe7\\xbb\\x86\\xe7\\xbb\\x93\\xe6\\x9e\\x84'"""
3,先进的电子断层扫描技术在材料科学中的发展——基于透射电子显微镜和扫描透射电子显微镜(英文)。,"b""b'\\xe8\\x83\\xbd\\xe8\\xb0\\xb1' b'\\xe4\\xbc\\xa0\\xe6\\x84\\x9f' b'\\xe5\\x8f\\x8c\\xe8\\xbd\\xb4' b'\\xe6\\x9a\\x97\\xe5\\x9c\\xba' b'\\xe9\\x80\\x8f\\xe5\\xb0\\x84' b'\\xe5\\x80\\xbe\\xe8\\xbd\\xac' b'\\xe5\\x8f\\x91\\xe5\\xb1\\x95\\xe8\\xb6\\x8b\\xe5\\x8a\\xbf' b'\\xe9\\xab\\x98\\xe8\\xa7\\x92' b'\\xe6\\x96\\xad\\xe5\\xb1\\x82\\xe6\\x89\\xab\\xe6\\x8f\\x8f' b'\\xe5\\x90\\x8c\\xe8\\xbd\\xb4'"""
4,“中国电子显微镜学会青年优秀论文奖”奖励条例(一九八六年8月3日中国电子显微镜学会第二届理事会第二次会上通过)。,"b""b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae' b'\\xe4\\xbc\\x98\\xe7\\xa7\\x80\\xe8\\xae\\xba\\xe6\\x96\\x87' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe7\\x8e\\xb0\\xe4\\xbb\\xa3\\xe5\\x8c\\x96' b'\\xe9\\x9b\\x86\\xe8\\xb5\\x84' b'\\xe9\\x9b\\x86\\xe4\\xbd\\x93' b'\\xe5\\x8a\\xa0\\xe9\\x80\\x9f' b'\\xe5\\xa5\\x96\\xe5\\x8a\\xb1' b'\\xe4\\xbf\\x83\\xe8\\xbf\\x9b' b'\\xe5\\x86\\xb3\\xe5\\xae\\x9a'"""
5,透射电子显微镜与扫描电子显微镜一些故障分析及处理。,"b""b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x9d\\x9f' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe5\\x85\\x89\\xe5\\xad\\xa6' b'\\xe7\\x94\\xb5\\xe7\\xa3\\x81\\xe9\\x80\\x8f\\xe9\\x95\\x9c' b'\\xe9\\xab\\x98\\xe5\\x88\\x86\\xe8\\xbe\\xa8\\xe7\\x8e\\x87' b'\\xe9\\x80\\x8f\\xe5\\xb0\\x84' b'\\xe7\\x94\\xb5\\xe9\\x95\\x9c' b'\\xe6\\x89\\xab\\xe6\\x8f\\x8f\\xe7\\x94\\xb5\\xe9\\x95\\x9c' b'\\xe9\\x80\\x8f\\xe5\\xb0\\x84\\xe7\\x94\\xb5\\xe9\\x95\\x9c' b'\\xe7\\x94\\x9f\\xe4\\xba\\xa7\\xe5\\xae\\x9e\\xe8\\xb7\\xb5' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c'"""
6,钛合金中相变的电子显微镜研究(Ⅰ)——钛及其合金的电子显微镜薄膜样品的制备。,"b""b'\\xe9\\x92\\x9b\\xe5\\x90\\x88\\xe9\\x87\\x91' b'\\xe8\\x80\\x90\\xe8\\x85\\x90\\xe8\\x9a\\x80\\xe6\\x80\\xa7' b'\\xe7\\x9b\\xb8\\xe5\\x8f\\x98' b'\\xe5\\x90\\x84\\xe4\\xb8\\xaa\\xe6\\x96\\xb9\\xe9\\x9d\\xa2' b'\\xe8\\x96\\x84\\xe8\\x86\\x9c' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe9\\x92\\x9b' b'\\xe6\\xa0\\xb7\\xe5\\x93\\x81' b'\\xe6\\x9d\\x90\\xe6\\x96\\x99' b'\\xe5\\x90\\x88\\xe9\\x87\\x91'"""
7,管氏肿腿蜂产卵器感器的扫描电子显微镜观察。,"b""b'\\xe6\\x9c\\xaa' b'\\xe4\\xba\\xa7\\xe5\\x8d\\xb5\\xe5\\x99\\xa8' b'\\xe7\\x94\\x9f\\xe7\\x89\\xa9\\xe9\\x98\\xb2\\xe6\\xb2\\xbb' b'\\xe6\\x84\\x9f\\xe5\\x99\\xa8' b'\\xe6\\x9c\\xab\\xe6\\xa2\\xa2' b'\\xe9\\x94\\xa5\\xe7\\x8a\\xb6' b'\\xe4\\xb8\\x8a\\xe8\\xb5\\xb7' b'\\xe8\\x82\\xbf' b'\\xe7\\xbb\\x93\\xe6\\x9e\\x9c\\xe8\\xa1\\xa8\\xe6\\x98\\x8e' b'\\xe7\\x94\\xb5\\xe5\\x8c\\x96\\xe5\\xad\\xa6'"""
8,扫描电子显微镜下观察磨损颗粒刺激小鼠气囊植骨模型诱导骨溶解的超微病理改变。,"b""b'\\xe5\\xaf\\xb9\\xe7\\x85\\xa7\\xe7\\xbb\\x84' b'\\xe5\\x81\\x87\\xe4\\xbd\\x93' b'\\xe4\\xbe\\x9b\\xe4\\xbd\\x93' b'\\xe9\\xaa\\xa8\\xe7\\x89\\x87' b'\\xe7\\xbd\\xae\\xe6\\x8d\\xa2\\xe6\\x9c\\xaf' b'\\xe9\\xaa\\xa8\\xe7\\xbb\\x86\\xe8\\x83\\x9e' b'\\xe4\\xba\\xba\\xe5\\xb7\\xa5\\xe5\\x85\\xb3\\xe8\\x8a\\x82' b'\\xe8\\xb6\\x85\\xe5\\xbe\\xae' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe6\\xb0\\x94\\xe5\\x9b\\x8a'"""
9,计量型扫描电子显微镜测控系统研究。,"b""b'\\xe7\\xa0\\x94\\xe5\\x88\\xb6' b'\\xe5\\xbc\\x80\\xe5\\x8f\\x91' b'\\xe6\\xb5\\x8b\\xe6\\x8e\\xa7' b'\\xe7\\xb2\\xbe\\xe7\\xa1\\xae\\xe6\\xb5\\x8b\\xe9\\x87\\x8f' b'\\xe6\\xb5\\x8b\\xe9\\x87\\x8f\\xe8\\x8c\\x83\\xe5\\x9b\\xb4' b'\\xe5\\xbe\\xae\\xe7\\xba\\xb3' b'\\xe6\\xa0\\x85\\xe6\\xa0\\xbc' b'\\xe7\\xbb\\x93\\xe6\\x9e\\x9c\\xe8\\xa1\\xa8\\xe6\\x98\\x8e' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe9\\x87\\x8f\\xe5\\x80\\xbc'"""
10,沈阳理工大学扫描电子显微镜运行管理与改进。,"b""b'\\xe8\\xae\\xa8\\xe8\\xae\\xba' b'\\xe6\\x80\\xbb\\xe7\\xbb\\x93' b'\\xe5\\xbb\\xba\\xe8\\xae\\xae' b'\\xe6\\x8f\\x90\\xe5\\x87\\xba' b'\\xe7\\x94\\xb5\\xe5\\xad\\x90\\xe6\\x98\\xbe\\xe5\\xbe\\xae\\xe9\\x95\\x9c' b'\\xe5\\xae\\x9e\\xe9\\xaa\\x8c\\xe6\\x95\\x99\\xe5\\xad\\xa6' b'\\xe5\\x88\\x86\\xe6\\x9e\\x90' b'\\xe9\\x97\\xae\\xe9\\xa2\\x98' b'\\xe7\\xa4\\xbe\\xe4\\xbc\\x9a' b'\\xe6\\x94\\xb9\\xe8\\xbf\\x9b'"""
